balicek;typ;barva;popisKarty
balicet;SV;cervena;cerveny svrsek
balicet;SV;kule;kulovy svrsek
balicet;K9;cervena;cervena devitka
balicet;K9;zaludy;zaludova devitka
balicet;K9;zelena;zelena devitka
balicet;ESO;kule;kulove eso
balicet;K8;zaludy;zaludova osmicka
balicet;KR;kule;kulovy kral
balicet;SV;zaludy;zaludovy svrsek
balicet;K10;kule;kulova desitka
balicet;K9;kule;kulova devitka
balicet;KR;zaludy;zaludovy kral
balicet;K7;kule;kulova sedmicka
balicet;K10;zelena;zelena desitka
balicet;K10;cervena;cervena desitka
balicet;KR;zelena;zeleny kral
balicet;ESO;zaludy;zaludove eso
hrac;K7;cervena;cervena sedmicka
pocitac;ESO;cervena;cervene eso
pocitac;K8;cervena;cervena osmicka
pocitac;SP;cervena;cereny spodek
pocitac;SP;zaludy;zaludovy spodek
pocitac;SV;zelena;zeleny svrsek
pocitac;KR;cervena;cerveny kral
pocitac;ESO;zelena;zeleno eso
vylozeno;K10;zaludy;zaludova desitka
vylozeno;K7;zaludy;zaludova sedmicka
vylozeno;K7;zelena;zelena sedmicka
vylozeno;K8;zelena;zelena osmicka
vylozeno;K8;kule;kulova osmicka
vylozeno;SP;kule;kulovy spodek
vylozeno;SP;zelena;zeleny spodek
